Issue Type,Summary,Description,Epic Link,Priority
Epic,"How Might We establish a secure, multi-cloud infrastructure baseline for SRE Bot?","**Epic Scope**: Provision AWS/Azure/GCP primitives (Kubernetes, networking, IAM, secrets, data residency), read-only access patterns, audit logging, and local LLM hosting constraints.

**Depends On**: None",,High
Epic,How Might We build a Kubernetes platform with golden paths and deployment strategies?,"**Epic Scope**: EKS/AKS/ECS platform setup, golden paths/templates, ingress, tenancy, policy, pipelines, deployment strategies (blue/green, canary).

**Depends On**: E1-INFRA",,High
Epic,"How Might We deliver the essential EKS add-ons for reliability, scale, and networking?","**Epic Scope**: VPC CNI, CoreDNS, kube-proxy, metrics-server, cluster autoscaling (Karpenter), ExternalDNS, ingress controller, CSI drivers, log agents.

**Depends On**: E1-INFRA, E2-PLATFORM",,Medium
Epic,How Might We provide observability and actionable insights for workloads?,"**Epic Scope**: Metrics, logs, traces, dashboards, alerting, SLO/SLI, incident routing, anomaly detection, synthetic checks, cost visibility.

**Depends On**: E2-PLATFORM, E3-EKS-ADDONS",,High
Epic,"How Might We enable migration assessment, planning, and execution?","**Epic Scope**: Inventory workloads, complexity scoring, strategy recommendations (rehost/refactor/replatform), pipelines, cutover/canary/blue-green, rollback.

**Depends On**: E2-PLATFORM, E4-OBS",,Medium
Epic,How Might We equip the SRE Bot with network troubleshooting and diagnostics?,"**Epic Scope**: VPC flow log queries, reachability, DNS, network policies, path/latency analysis, guided troubleshooting workflows.

**Depends On**: E3-EKS-ADDONS, E4-OBS",,Medium
Epic,How Might We automate remediation with approvals and guardrails via ChatOps?,"**Epic Scope**: ChatOps integration, command design, approvals, RBAC guardrails, audit trail, runbook automation, dry-run/shadow, blast radius controls.

**Depends On**: E2-PLATFORM, E4-OBS",,High
Epic,"How Might We achieve security assurance, pen-testing and non-functional readiness?","**Epic Scope**: IAM least privilege, secrets/WAF/GuardDuty, vulnerability management, compliance, performance/load, chaos, backup/DR, RTO/RPO.

**Depends On**: E1-INFRA, E2-PLATFORM, E4-OBS",,High
Epic,"How Might We provide documentation, training, and runbooks for all personas?","**Epic Scope**: Docs portal, runbooks, training for Developer/Tester/SRE/PO/PM/Analyst, ticket templates, knowledge base, best practices and golden paths.

**Depends On**: E4-OBS, E7-AUTO",,Medium
Epic,"How Might We enable consumption as API, CLI, IDE, and as agent/chatbot/MCP server?","**Epic Scope**: Public/internal API endpoints, CLI, IDE tooling (VSCode/IntelliJ), agent/chatbot, MCP server integration, usage analytics and versioning.

**Depends On**: E7-AUTO, E9-DOCS",,Medium
